Rank,Stock 1,Stock 2,Coint Score,Grade,Return (%),Sharpe,Max DD (%),Win Rate (%),Trades,Avg Trade (%)
106,GPC,HSY,83.88888888888889,A级 (优秀),12.32321741198763,1.199964806298321,-6.3546837785333725,71.42857142857143,7,1.885980541003623
107,AIG,PM,83.88888888888889,A级 (优秀),12.078268274528673,1.6041326064344528,-4.179102686331709,75.0,8,1.6304740829962765
108,EG,GIS,100.0,S级 (完美),12.04118922790818,1.3453552157335724,-6.040245137867079,66.66666666666666,15,0.9315465840997096
109,FANG,PEP,86.11111111111111,A级 (优秀),12.039355092334736,2.363737639850746,-5.75549317245706,87.5,8,1.6284036496628151
110,NXPI,TXT,71.11111111111111,B级 (良好),12.023863368914913,0.9728267710067685,-6.950374179064372,70.0,10,1.3275451224881023
111,ALL,VTR,81.66666666666667,A级 (优秀),12.01756485932006,3.0340248567847397,-2.190486032352129,77.77777777777779,9,1.4605442924214271
112,DOW,EG,86.66666666666667,A级 (优秀),11.916210029990399,3.0442545137527697,-3.4222440803787926,83.33333333333334,6,2.107809548822724
113,HSIC,NOW,81.11111111111111,A级 (优秀),11.908123713202935,1.3148231017745493,-4.3496633878262765,62.5,8,1.6201180536197166
114,MTCH,VLTO,73.33333333333333,B级 (良好),11.830327232424171,1.0121510718841564,-4.123584277191567,58.82352941176471,17,0.8302165876747984
115,EG,HSY,73.33333333333333,B级 (良好),11.825129426995582,1.0074054214054633,-6.4181238089687485,72.72727272727273,11,1.2041043174231414
116,ABNB,CMS,81.66666666666667,A级 (优秀),11.800866798557893,0.46810587278272014,-10.955850714832723,57.14285714285714,14,0.9691552158140686
117,DVA,OKE,76.66666666666667,B级 (良好),11.706465989840101,1.12751174813862,-7.085627231480353,66.66666666666666,12,1.0964532910280287
118,MET,SNA,81.66666666666667,A级 (优秀),11.689685480948494,2.107502142165184,-2.94070979578354,80.0,5,2.4616247853398723
119,EG,J,86.66666666666667,A级 (优秀),11.669839041600442,1.51977881583643,-6.0076659724959605,62.5,8,1.5804622100574788
120,CPT,TYL,71.11111111111111,B级 (良好),11.583721284499378,0.7836084186988533,-8.202239711277896,63.63636363636363,11,1.1787742883131613
121,EG,SJM,83.88888888888889,A级 (优秀),11.543461998785963,1.3250993861787348,-4.556414646725413,60.0,10,1.2774857865273161
122,AKAM,UPS,78.88888888888889,B级 (良好),11.464406592811866,0.6859055595985429,-8.06787765935427,54.54545454545454,11,1.1633058570683503
123,ETR,GILD,78.88888888888889,B级 (良好),11.42413192500586,1.0962587600909366,-5.182900474085192,57.14285714285714,14,0.9447420277608528
124,EG,GDDY,83.33333333333333,A级 (优秀),11.23636358207147,1.7973352593124943,-4.4930250069938795,90.0,10,1.2498023954336257
125,LII,MSI,88.33333333333333,A级 (优秀),11.228430095383809,1.4454947046842226,-7.642303586322792,77.77777777777779,9,1.3659829356198037
126,EG,ERIE,93.33333333333333,S级 (完美),11.131874445580745,1.3195165540256097,-4.945315010420423,77.77777777777779,9,1.3610352052938475
127,EG,FFIV,97.77777777777777,S级 (完美),11.108783741010733,1.0324821959897494,-7.208340430869635,60.0,10,1.2362205925612553
128,ACGL,LMT,83.88888888888889,A级 (优秀),11.10404109802442,2.8108972469263707,-4.533749883185066,70.0,10,1.2292338399820362
129,COP,EVRG,88.33333333333333,A级 (优秀),11.027614769218069,2.0799727981826157,-3.7061654826699133,70.0,10,1.2282882705183333
130,EG,PEG,76.66666666666667,B级 (良好),10.99333830421632,1.074695921626603,-5.5188062453899445,72.72727272727273,11,1.1232406165353497
131,OMC,VRSN,76.11111111111111,B级 (良好),10.967524028242783,0.9596157372123649,-8.183741234027222,50.0,16,0.809642290916889
132,AEE,OXY,76.66666666666667,B级 (良好),10.964104279138846,4.1526589501429205,-2.70379827783136,100.0,6,1.953979307857739
133,PANW,T,76.66666666666667,B级 (良好),10.910663455437666,1.5742554148680943,-4.382284896695988,60.0,5,2.3113468034953
134,COIN,EMR,87.77777777777777,A级 (优秀),10.902227342845478,1.0705854903190624,-10.574316587626626,63.63636363636363,11,1.1221070698818598
135,EG,NSC,86.66666666666667,A级 (优秀),10.862064634790833,1.1426164013952516,-5.475580119518673,77.77777777777779,9,1.3284814328879657
136,HSIC,MSCI,78.88888888888889,B级 (良好),10.845741049675969,2.001193411412714,-2.6067626689425984,85.71428571428571,7,1.670132509028152
137,DVN,V,83.33333333333333,A级 (优秀),10.814038097534896,3.230174849331121,-3.2645481532717078,100.0,5,2.2854626373978286
138,EG,FCX,73.33333333333333,B级 (良好),10.766031253356836,0.9026937267116587,-8.12700387872288,73.33333333333333,15,0.8377106438075941
139,EG,TTWO,100.0,S级 (完美),10.688354861733343,1.2719136398163047,-7.679152334550303,76.92307692307693,13,0.9418372406977406
140,TGT,VRSN,71.11111111111111,B级 (良好),10.665377753421403,0.6182289020844638,-7.73559393649573,60.0,10,1.1919127987104647
141,PG,UDR,100.0,S级 (完美),10.655718731896224,1.7912411554541534,-3.7852371883316307,80.0,15,0.8362278636517785
142,EG,WEC,97.77777777777777,S级 (完美),10.527185232066302,0.9441949312176546,-4.628117827525038,64.28571428571429,14,0.8776547925741847
143,ADBE,EXE,76.66666666666667,B级 (良好),10.422638598662278,1.0292593716645497,-11.97746542320485,80.0,5,2.2000250487443282
144,ECL,MELI,81.11111111111111,A级 (优秀),10.291728853461668,1.72100360324112,-9.157993939873675,66.66666666666666,6,1.8338015929199412
145,HSIC,TXN,76.66666666666667,B级 (良好),10.230328850289588,1.1081744848160031,-5.991490135534719,72.72727272727273,11,1.0611832194106163
146,SJM,SYK,81.11111111111111,A级 (优秀),10.14383760910963,1.2757659900762723,-8.011911994657861,81.81818181818183,11,1.0403953607950158
147,ABNB,DXCM,95.55555555555556,S级 (完美),10.124614143437881,0.8489632857422732,-10.082020590861426,54.54545454545454,11,1.0456614063449243
148,DOC,EW,81.11111111111111,A级 (优秀),10.109283331784551,1.6594237620933252,-6.734933130706638,71.42857142857143,7,1.5788917604994779
149,GEN,SLB,83.88888888888889,A级 (优秀),9.957328743430946,1.7448088519372362,-1.8978930103884302,80.0,5,2.1312844807704727
150,EXPE,SHOP,95.55555555555556,S级 (完美),9.94467610606167,1.0541344205201637,-7.19715243528007,62.5,8,1.3616399701818422
151,DE,EG,88.88888888888889,A级 (优秀),9.922129425578866,1.3595985383368443,-6.773644558764843,70.0,10,1.1104548435880695
152,EG,NEE,75.55555555555556,B级 (良好),9.844311940252723,1.0886082983028218,-4.668391940786358,66.66666666666666,9,1.2184510060285942
153,MSCI,PKG,75.55555555555556,B级 (良好),9.812110645266511,0.9685065883808089,-5.829959043220257,66.66666666666666,18,0.6652202367878598
154,HAL,MRK,91.11111111111111,S级 (完美),9.687881805637327,1.4988709455694753,-4.324312722859525,66.66666666666666,9,1.2123425313312355
155,DE,FANG,81.11111111111111,A级 (优秀),9.6583313941089,0.8667390380616204,-8.111751480110499,42.857142857142854,7,1.4960089269449977
156,INTU,UNH,81.11111111111111,A级 (优秀),9.576872343175099,0.3537100696423463,-13.665158289217361,50.0,12,0.9216766907411181
157,EG,PEP,95.55555555555556,S级 (完美),9.518019623589048,0.8562651686604511,-7.549309266862038,71.42857142857143,7,1.4837114027137681
158,TSCO,WDAY,81.66666666666667,A级 (优秀),9.514574683421975,5.3349191981250375,-5.807955608156143,100.0,3,3.292367838261157
159,LII,SW,71.11111111111111,B级 (良好),9.412554661156609,1.4904365762656102,-3.5718928689364784,81.81818181818183,11,0.9837910584684143
160,EG,WFC,100.0,S级 (完美),9.400757327577375,1.140534831565453,-4.744371279346085,62.5,8,1.3021366067514066
161,AMZN,INVH,85.55555555555556,A级 (优秀),9.377967923016781,0.6375117755626466,-12.64883803891326,81.81818181818183,11,0.9847164798460025
162,PANW,VST,83.88888888888889,A级 (优秀),9.362756051335062,0.7858313749220874,-5.678318220139373,58.333333333333336,12,0.9102566644430498
163,EG,STE,88.88888888888889,A级 (优秀),9.31728520818903,0.9288128191307614,-9.420316713566189,78.57142857142857,14,0.7845277644803199
164,EG,RSG,97.77777777777777,S级 (完美),9.284599881103073,1.1751513007803887,-4.303370187902695,66.66666666666666,9,1.149366275736436
165,MTD,PFE,93.33333333333333,S级 (完美),9.279525627623677,1.012866307677808,-5.9863627181831625,75.0,8,1.2827533325281812
166,MELI,VICI,88.88888888888889,A级 (优秀),9.243021676226883,0.24058901454207268,-24.356296748648266,45.45454545454545,22,0.5520491319618296
167,COP,MCD,81.66666666666667,A级 (优秀),9.224960868797453,3.6600298900087607,-2.1097201413537046,90.0,10,1.0430398711004463
168,MET,PKG,81.11111111111111,A级 (优秀),9.195339467480649,2.41746017584776,-0.9993835268470576,71.42857142857143,7,1.4355802655853096
169,EXC,PPG,86.66666666666667,A级 (优秀),9.163328931678523,2.015672279019943,-5.393402376758822,85.71428571428571,7,1.4415732161100705
170,ADI,CPRT,73.33333333333333,B级 (良好),9.108667115936521,0.6688439421768875,-12.949924942179056,64.28571428571429,14,0.7705405831485825
171,EG,TKO,100.0,S级 (完美),9.064059838346585,1.0327759688646503,-8.005308728171402,72.72727272727273,11,0.9481916627386915
172,EG,STZ,100.0,S级 (完美),9.024992485188239,0.8847558157696757,-8.958715182249746,72.72727272727273,11,0.9443983604756806
173,EG,TGT,100.0,S级 (完美),8.983231512907121,1.215475141003727,-5.6412853897164466,76.92307692307693,13,0.815870191615974
174,EG,POOL,95.55555555555556,S级 (完美),8.951766761550287,0.9329500094690302,-7.654643341886022,60.0,10,1.013141305702008
175,EG,PLTR,100.0,S级 (完美),8.904272838611737,1.2718849202698934,-9.516370068534217,83.33333333333334,6,1.6027944281967024
176,ALL,DE,78.88888888888889,B级 (良好),8.886215191773037,1.7970677288049242,-3.560173470371249,85.71428571428571,7,1.3898546129640879
177,ALL,CME,83.33333333333333,A级 (优秀),8.870467360559967,1.4499050604530674,-4.843538708202551,44.44444444444444,9,1.1066676321517623
178,KHC,TKO,71.66666666666666,B级 (良好),8.767235633936245,0.7936083365773694,-5.917853621885386,37.5,8,1.222517602137199
179,HUM,PODD,81.66666666666667,A级 (优秀),8.751218470787876,1.1459510689203973,-5.61957905296193,64.28571428571429,14,0.7429758661019358
180,IP,TYL,86.66666666666667,A级 (优秀),8.735645513664219,1.4846800508420772,-4.521980886864528,66.66666666666666,6,1.5722561909306423
181,ADSK,PNR,75.55555555555556,B级 (良好),8.706992892608469,0.9065197479751453,-4.19121124464023,78.57142857142857,14,0.7407538118171081
182,HSIC,PANW,78.88888888888889,B级 (良好),8.702496276125588,1.5355082536214129,-7.716441380290159,66.66666666666666,6,1.5756154843613157
183,HUM,TDG,83.88888888888889,A级 (优秀),8.656566091251968,0.551641118062859,-11.50764070158989,55.55555555555556,9,1.0769164318106301
184,SLB,VRSN,76.66666666666667,B级 (良好),8.59624029094074,1.1462877073917892,-6.3229682261754645,80.0,5,1.8409129731958402
185,PANW,SPG,76.66666666666667,B级 (良好),8.560036350140843,2.5839255655161915,-3.000197412879046,77.77777777777779,9,1.071657584269359
186,TRV,WELL,83.88888888888889,A级 (优秀),8.556368877656467,1.9355402449453467,-2.234866374357148,80.0,10,0.9815626873000326
187,CNP,TGT,91.11111111111111,S级 (完美),8.547013492932457,1.0455422530221121,-12.738863675278111,75.0,8,1.1996886042165942
188,EG,ODFL,91.11111111111111,S级 (完美),8.546798716502119,0.7818243987640028,-10.376195965909188,80.0,10,0.9704383739225433
189,EG,HUM,86.11111111111111,A级 (优秀),8.530862359455016,1.613619343127215,-4.155624144561256,70.0,10,0.9719147527437334
190,EQR,INTC,91.11111111111111,S级 (完美),8.523209430529125,2.2650084412154436,-4.297961774984702,50.0,4,2.2624188003512624
191,EG,KEYS,88.88888888888889,A级 (优秀),8.519324708997578,0.9921374890310573,-7.374878918905702,61.53846153846154,13,0.778270665751715
192,AMZN,WFC,81.66666666666667,A级 (优秀),8.505358459780211,1.3616045590215347,-4.689389309393319,55.55555555555556,9,1.0661311551033232
193,PANW,REG,88.88888888888889,A级 (优秀),8.495391107827004,2.6731683833710127,-1.9102402444044493,71.42857142857143,7,1.3391390055666228
194,ABT,DRI,88.88888888888889,A级 (优秀),8.43637774178566,1.045109816027377,-4.114623791714473,68.75,16,0.650759337647867
